Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCA_000272065.2	ASM27206v2	Vibrio crassostreae 9ZC77		9ZC77					NCBI Prokaryotic Genome Annotation Pipeline	4820065	Scaffold	2016-09-16	AJZA02	4012
GCA_000272085.2	ASM27208v2	Vibrio crassostreae ZF-91		ZF-91					NCBI Prokaryotic Genome Annotation Pipeline	5056409	Scaffold	2016-09-16	AJZC02	4257
GCA_000272105.2	ASM27210v2	Vibrio splendidus 12E03		12E03					NCBI Prokaryotic Genome Annotation Pipeline	5369111	Scaffold	2016-09-16	AJZD02	4552
GCA_000272125.2	ASM27212v2	Vibrio splendidus ZF-90		ZF-90					NCBI Prokaryotic Genome Annotation Pipeline	5422263	Scaffold	2016-09-16	AJZF02	4569
GCA_000272145.2	ASM27214v2	Vibrio genomosp. F6 str. FF-238		FF-238					NCBI Prokaryotic Genome Annotation Pipeline	4239624	Scaffold	2016-09-16	AJYW02	3651
GCA_000272165.2	ASM27216v2	Vibrio kanaloae 5S-149		5S-149					NCBI Prokaryotic Genome Annotation Pipeline	4701086	Scaffold	2016-09-16	AJYX02	3996
GCA_000272185.2	ASM27218v2	Vibrio crassostreae 9CS106		9CS106					NCBI Prokaryotic Genome Annotation Pipeline	5308678	Chromosome	2016-07-05		4429
GCA_000272205.2	ASM27220v2	Vibrio crassostreae 9ZC88		9ZC88					NCBI Prokaryotic Genome Annotation Pipeline	4845980	Scaffold	2016-09-16	AJZB02	4114
GCA_000272225.2	ASM27222v2	Vibrio splendidus ZS-139		ZS-139					NCBI Prokaryotic Genome Annotation Pipeline	5289880	Scaffold	2016-09-16	AJZE02	4476
GCA_000272245.2	ASM27224v2	Vibrio splendidus 5S-101		5S-101					NCBI Prokaryotic Genome Annotation Pipeline	5458218	Scaffold	2016-09-16	AJZG02	4601
GCA_000272265.2	ASM27226v2	Vibrio splendidus FF-500		FF-500					NCBI Prokaryotic Genome Annotation Pipeline	5858828	Scaffold	2016-09-16	AJZH02	4913
GCA_000272285.1	Vib-0407ZC148	Vibrio splendidus 0407ZC148		0407ZC148						5497717	Contig	2012-06-25	AJZK01	
GCA_000272305.2	ASM27230v2	Vibrio splendidus 1S-124		1S-124					NCBI Prokaryotic Genome Annotation Pipeline	5272753	Scaffold	2016-09-16	AJZL02	4459
GCA_000272325.2	ASM27232v2	Vibrio splendidus FF-6		FF-6					NCBI Prokaryotic Genome Annotation Pipeline	5639868	Scaffold	2016-09-16	AJZI02	4801
GCA_000272345.2	ASM27234v2	Vibrio splendidus 1F-157		1F-157					NCBI Prokaryotic Genome Annotation Pipeline	5590424	Scaffold	2016-09-16	AJZJ02	4647
GCA_000272365.2	ASM27236v2	Vibrio tasmaniensis 1F-267		1F-267					NCBI Prokaryotic Genome Annotation Pipeline	5127516	Scaffold	2016-09-16	AJZO02	4364
GCA_000272385.2	ASM27238v2	Vibrio tasmaniensis 1F-155		1F-155					NCBI Prokaryotic Genome Annotation Pipeline	5193878	Scaffold	2016-09-16	AJZN02	4406
GCA_000272405.2	ASM27240v2	Vibrio tasmaniensis 1F-187		1F-187					NCBI Prokaryotic Genome Annotation Pipeline	5328946	Scaffold	2016-09-16	AJZM02	4527
GCA_000272425.1	Vib-5F-79	Vibrio tasmaniensis 5F-79		5F-79						5205437	Contig	2012-06-25	AJZP01	
GCA_000272445.2	ASM27244v2	Vibrio tasmaniensis ZS-17		ZS-17					NCBI Prokaryotic Genome Annotation Pipeline	5612421	Scaffold	2016-09-16	AJZQ02	4770
GCA_000275645.1	ASM27564v1	Vibrio cholerae H1		H1						4089020	Chromosome	2012-06-29	AKGH01	
GCA_000275705.1	VibHar1.0	Vibrio harveyi ZJ0603		ZJ0603						6697981	Scaffold	2012-07-09	AKIH01	
GCA_000279185.1	ASM27918v1	Vibrio cholerae HC-42A1		HC-42A1					Annotation submitted by Institute for Genome Sciences	4024780	Scaffold	2012-07-25	ALDO01	3726
GCA_000279205.1	ASM27920v1	Vibrio cholerae HC-56A2		HC-56A2					Annotation submitted by Institute for Genome Sciences	4029365	Scaffold	2012-07-25	ALDX01	3755
GCA_000279245.1	ASM27924v1	Vibrio cholerae CP1041(14)		CP1041(14)					Annotation submitted by Institute for Genome Sciences	4085554	Contig	2012-07-18	ALDE01	3729
GCA_000279265.1	ASM27926v1	Vibrio cholerae HE-25		HE-25					Annotation submitted by Institute for Genome Sciences	4092530	Contig	2012-07-18	ALEC01	3718
GCA_000279285.1	ASM27928v1	Vibrio cholerae HE-45		HE-45					Annotation submitted by Institute for Genome Sciences	4125202	Contig	2012-07-18	ALED01	3758
GCA_000279305.1	ASM27930v1	Vibrio cholerae CP1032(5)		CP1032(5)					Annotation submitted by Institute for Genome Sciences	3971467	Contig	2012-07-18	ALDA01	3654
GCA_000279325.1	ASM27932v1	Vibrio cholerae CP1038(11)		CP1038(11)					Annotation submitted by Institute for Genome Sciences	4058268	Contig	2012-07-18	ALDC01	3733
GCA_000279345.1	ASM27934v1	Vibrio cholerae CP1042(15)		CP1042(15)					Annotation submitted by Institute for Genome Sciences	4045377	Contig	2012-07-18	ALDF01	3714
GCA_000279375.1	ASM27937v1	Vibrio cholerae HC-57A2		HC-57A2					Annotation submitted by Institute for Genome Sciences	4025386	Scaffold	2012-07-25	ALDZ01	3738
GCA_000279395.1	ASM27939v1	Vibrio cholerae CP1048(21)		CP1048(21)					Annotation submitted by Institute for Genome Sciences	4091990	Contig	2012-07-18	ALDJ01	3775
GCA_000279415.1	ASM27941v1	Vibrio cholerae HC-20A2		HC-20A2					Annotation submitted by Institute for Genome Sciences	4084542	Contig	2012-07-18	ALDL01	3705
GCA_000279435.1	ASM27943v1	Vibrio cholerae HC-43B1		HC-43B1					Annotation submitted by Institute for Genome Sciences	3931831	Contig	2012-07-18	ALDP01	3582
GCA_000279455.1	ASM27945v1	Vibrio cholerae HC-46A1		HC-46A1					Annotation submitted by Institute for Genome Sciences	4120976	Contig	2012-07-18	ALDQ01	3792
GCA_000279555.1	ASM27955v1	Vibrio cholerae CP1030(3)		CP1030(3)					Annotation submitted by Institute for Genome Sciences	4010577	Scaffold	2012-07-25	ALCZ01	3762
GCA_000279785.1	ASM27978v1	Vibrio cholerae CP1047(20)		CP1047(20)					Annotation submitted by Institute for Genome Sciences	4039784	Scaffold	2012-07-25	ALDI01	3713
GCA_000279955.1	ASM27995v1	Vibrio cholerae HC-47A1		HC-47A1					Annotation submitted by Institute for Genome Sciences	4031718	Scaffold	2012-07-25	ALDR01	3747
GCA_000280885.2	ASM28088v2	Vibrio breoganii 1C10		1C10					NCBI Prokaryotic Genome Annotation Pipeline	4146244	Scaffold	2016-09-16	AKXW02	3597
GCA_000281655.1	ASM28165v1	Vibrio cholerae CP1046(19)		CP1046(19)					Annotation submitted by Institute for Genome Sciences	4093497	Contig	2012-07-18	ALDH01	3856
GCA_000286955.2	ASM28695v2	Vibrio rumoiensis 1S-45		1S-45					NCBI Prokaryotic Genome Annotation Pipeline	3447496	Scaffold	2016-09-16	AJYK02	2981
GCA_000286975.2	ASM28697v2	Vibrio breoganii ZF-55		ZF-55					NCBI Prokaryotic Genome Annotation Pipeline	4049629	Scaffold	2016-09-16	AJYL02	3510
GCA_000286995.2	ASM28699v2	Vibrio breoganii ZF-29		ZF-29					NCBI Prokaryotic Genome Annotation Pipeline	4279312	Scaffold	2016-09-16	AJYM02	3611
GCA_000287015.2	ASM28701v2	Vibrio genomosp. F10 str. 9ZD137		9ZD137					NCBI Prokaryotic Genome Annotation Pipeline	4267657	Scaffold	2016-09-16	AJYO02	3474
GCA_000287035.2	ASM28703v2	Vibrio genomosp. F10 str. 9ZC157		9ZC157					NCBI Prokaryotic Genome Annotation Pipeline	4122950	Scaffold	2016-09-16	AJYP02	3552
GCA_000287055.2	ASM28705v2	Vibrio genomosp. F10 str. ZF-129		ZF-129					NCBI Prokaryotic Genome Annotation Pipeline	4418179	Scaffold	2016-09-16	AJYQ02	3908
GCA_000287075.2	ASM28707v2	Vibrio ordalii FF-167		FF-167					NCBI Prokaryotic Genome Annotation Pipeline	3780662	Scaffold	2016-09-16	AJYR02	3153
GCA_000287095.2	ASM28709v2	Vibrio anguillarum		FF-93					NCBI Prokaryotic Genome Annotation Pipeline	3844698	Scaffold	2016-09-16	AJYT02	3332
GCA_000287115.2	ASM28711v2	Vibrio anguillarum		FS-144					NCBI Prokaryotic Genome Annotation Pipeline	4020059	Scaffold	2016-09-16	AJYU02	3455
GCA_000287135.2	ASM28713v2	Vibrio anguillarum		12B09					NCBI Prokaryotic Genome Annotation Pipeline	4097728	Scaffold	2016-09-16	AJYV02	3447
GCA_000287155.2	ASM28715v2	Vibrio ordalii FS-238		FS-238					NCBI Prokaryotic Genome Annotation Pipeline	3894846	Scaffold	2016-09-16	AJYS02	3390
GCA_000287195.2	ASM28719v2	Vibrio genomosp. F10 str. 9ZB36		9ZB36					NCBI Prokaryotic Genome Annotation Pipeline	4264709	Scaffold	2016-09-16	AJYN02	3657
GCA_000299495.2	VC35.1	Vibrio cholerae VC35		VC35						3912714	Contig	2012-09-27	AMBR01	
GCA_000299515.2	VC1761.1	Vibrio cholerae VC1761		VC1761						4011457	Contig	2012-09-27	AMBS01	
GCA_000299535.2	VC4370.1	Vibrio cholerae VC4370		VC4370						3986677	Contig	2012-09-27	AMBT01	
GCA_000299635.1	ASM29963v1	Vibrio vulnificus NBRC 15645 = ATCC 27562		ATCC 27562						4327239	Contig	2012-09-27	AMQV01	
GCA_000302755.1	ASM30275v1	Vibrio cholerae HC-41A1		HC-41A1					Annotation submitted by Institute for Genome Sciences	4027832	Scaffold	2012-10-11	ALDN01	3775
GCA_000302775.1	ASM30277v1	Vibrio cholerae HC-39A1		HC-39A1					Annotation submitted by Institute for Genome Sciences	4022430	Scaffold	2012-10-11	ALDM01	3720
GCA_000302835.1	ASM30283v1	Vibrio cholerae HC-50A1		HC-50A1					Annotation submitted by Institute for Genome Sciences	3939222	Scaffold	2012-10-11	ALDS01	3692
GCA_000302855.1	ASM30285v1	Vibrio cholerae HC-52A1		HC-52A1					Annotation submitted by Institute for Genome Sciences	3937542	Scaffold	2012-10-11	ALDU01	3704
GCA_000302875.1	ASM30287v1	Vibrio cholerae HC-55A1		HC-55A1					Annotation submitted by Institute for Genome Sciences	3932130	Scaffold	2012-10-11	ALDV01	3710
GCA_000302895.1	ASM30289v1	Vibrio cholerae HC-56A1		HC-56A1					Annotation submitted by Institute for Genome Sciences	3934171	Scaffold	2012-10-11	ALDW01	3668
GCA_000302965.1	ASM30296v1	Vibrio cholerae CP1037(10)		CP1037(10)					Annotation submitted by Institute for Genome Sciences	3922570	Scaffold	2012-10-11	ALDB01	3624
GCA_000302985.1	ASM30298v1	Vibrio cholerae CP1040(13)		CP1040(13)					Annotation submitted by Institute for Genome Sciences	4033944	Scaffold	2012-10-11	ALDD01	3752
GCA_000303005.1	ASM30300v1	Vibrio cholerae HC-57A1		HC-57A1					Annotation submitted by Institute for Genome Sciences	3934427	Scaffold	2012-10-11	ALDY01	3673
GCA_000303045.1	ASM30304v1	Vibrio cholerae CP1044(17)		CP1044(17)					Annotation submitted by Institute for Genome Sciences	4010199	Scaffold	2012-10-11	ALDG01	3757
GCA_000303065.1	ASM30306v1	Vibrio cholerae CP1050(23)		CP1050(23)					Annotation submitted by Institute for Genome Sciences	4024004	Scaffold	2012-10-11	ALDK01	3749
GCA_000303085.1	ASM30308v1	Vibrio paracholerae HE-16		HE-16					Annotation submitted by Institute for Genome Sciences	3911386	Scaffold	2012-10-11	ALEB01	3709
GCA_000303105.1	ASM30310v1	Vibrio cholerae HC-51A1		HC-51A1					Annotation submitted by Institute for Genome Sciences	3929843	Scaffold	2012-10-11	ALDT01	3654
GCA_000303125.1	ASM30312v1	Vibrio cholerae HC-81A2		HC-81A2					Annotation submitted by Institute for Genome Sciences	4028931	Scaffold	2012-10-11	ALEA01	3733
GCA_000303175.1	C224contig	Vibrio vulnificus B2		B2						4664000	Contig	2012-10-05	AMQR01	
GCA_000304755.1	ASM30475v1	Vibrio cholerae CP1033(6)		CP1033(6)					Annotation submitted by Institute for Genome Sciences	3988132	Contig	2012-10-10	AJRL01	3584
GCA_000304775.1	ASM30477v1	Vibrio cholerae HC-1A2		HC-1A2					Annotation submitted by Institute for Genome Sciences	3965428	Contig	2012-10-10	AJRO01	3578
GCA_000304795.1	ASM30479v1	Vibrio cholerae HC-61A2		HC-61A2					Annotation submitted by Institute for Genome Sciences	4000124	Contig	2012-10-10	AJRU01	3599
GCA_000304915.2	ASM30491v2	Vibrio cholerae CP1035(8)		CP1035(8)					Annotation submitted by Institute for Genome Sciences	3933356	Scaffold	2012-10-31	AJRM01	3741
GCA_000304935.2	ASM30493v2	Vibrio cholerae HC-17A1		HC-17A1					Annotation submitted by Institute for Genome Sciences	4174355	Scaffold	2012-10-31	AJRN01	4137
GCA_000304955.2	ASM30495v2	Vibrio cholerae HC-41B1		HC-41B1					Annotation submitted by Institute for Genome Sciences	3883402	Scaffold	2012-10-31	AJRP01	3577
GCA_000304995.1	ASM30499v1	Vibrio cholerae HC-50A2		HC-50A2					Annotation submitted by Institute for Genome Sciences	4030802	Scaffold	2012-10-31	AJRQ01	3899
GCA_000305015.2	ASM30501v2	Vibrio cholerae HC-55C2		HC-55C2					Annotation submitted by Institute for Genome Sciences	3940186	Scaffold	2012-10-31	AJRR01	3647
GCA_000305055.2	ASM30505v2	Vibrio cholerae HC-60A1		HC-60A1					Annotation submitted by Institute for Genome Sciences	3938002	Scaffold	2012-10-31	AJRT01	3622
GCA_000305075.2	ASM30507v2	Vibrio cholerae HC-62A1		HC-62A1					Annotation submitted by Institute for Genome Sciences	4032880	Scaffold	2012-10-31	AJRV01	3694
GCA_000305095.2	ASM30509v2	Vibrio cholerae HC-77A1		HC-77A1					Annotation submitted by Institute for Genome Sciences	4040127	Scaffold	2012-10-31	AJRW01	3696
GCA_000305115.2	ASM30511v2	Vibrio cholerae HE-40		HE-40					Annotation submitted by Institute for Genome Sciences	3875898	Scaffold	2012-10-31	AJRX01	3545
GCA_000305135.2	ASM30513v2	Vibrio cholerae HE-46		HE-46					Annotation submitted by Institute for Genome Sciences	3874516	Scaffold	2012-10-31	AJRY01	3543
GCA_000305195.2	ASM30519v2	Vibrio cholerae HC-59A1		HC-59A1					Annotation submitted by Institute for Genome Sciences	3934654	Scaffold	2012-10-31	AJRS01	3664
GCA_000305525.2	ASM30552v2	Vibrio cholerae HC-02C1		HC-02C1					Annotation submitted by Institute for Genome Sciences	3935576	Scaffold	2012-10-16	AJSH01	3661
GCA_000305545.2	ASM30554v2	Vibrio cholerae HC-59B1		HC-59B1					Annotation submitted by Institute for Genome Sciences	3934504	Scaffold	2012-10-16	AJSN01	3657
GCA_000305565.2	ASM30556v2	Vibrio cholerae HC-44C1		HC-44C1					Annotation submitted by Institute for Genome Sciences	3876537	Scaffold	2012-10-16	AJSK01	3571
GCA_000305585.2	ASM30558v2	Vibrio cholerae HC-37A1		HC-37A1					Annotation submitted by Institute for Genome Sciences	4029550	Scaffold	2012-10-16	AJSJ01	3703
GCA_000305605.1	ASM30560v1	Vibrio cholerae HC-46B1		HC-46B1					Annotation submitted by Institute for Genome Sciences	3941918	Contig	2012-10-15	AJSL01	3577
GCA_000305625.2	ASM30562v2	Vibrio cholerae HC-62B1		HC-62B1					Annotation submitted by Institute for Genome Sciences	4028528	Scaffold	2012-10-16	AJSO01	3713
GCA_000305645.2	ASM30564v2	Vibrio cholerae HC-55B2		HC-55B2					Annotation submitted by Institute for Genome Sciences	3934012	Scaffold	2012-10-16	AJSM01	3674
GCA_000305675.2	ASM30567v2	Vibrio cholerae HC-17A2		HC-17A2					Annotation submitted by Institute for Genome Sciences	4023476	Scaffold	2012-10-16	AJSI01	3708
GCA_000305695.2	ASM30569v2	Vibrio cholerae HC-69A1		HC-69A1					Annotation submitted by Institute for Genome Sciences	4024183	Scaffold	2012-10-16	AJSP01	3682
GCA_000305715.2	ASM30571v2	Vibrio harveyi		HENC-01					Annotation submitted by Institute for Genome Sciences	5675890	Scaffold	2012-10-16	AJSQ01	5243
GCA_000305735.2	ASM30573v2	Vibrio harveyi		HENC-02					Annotation submitted by Institute for Genome Sciences	5188868	Scaffold	2012-10-16	AJSR01	6622
GCA_000305755.2	ASM30575v2	Vibrio sp. HENC-03		HENC-03					Annotation submitted by Institute for Genome Sciences	5907191	Scaffold	2012-10-16	AJSS01	5270
GCA_000315135.1	De novo	Vibrio parahaemolyticus SNUVpS-1		SNUVpS-1						5241845	Contig	2012-11-26	AMRZ01	
GCA_000316925.1	712i1	Vibrio sp. 712i1		712i1						5251011	Contig	2012-12-04	ANBX01	
GCA_000316985.1	Draft	Vibrio sp. 624788		624788						5467904	Contig	2012-12-04	ANBW01	
GCA_000318075.1	Vibrio cholerae PS15	Vibrio cholerae PS15		PS15					Annotation submitted by National Center for Genome Resources	3910387	Contig	2012-12-10	AIJR01	3510
GCA_000318485.2	ASM31848v2	Vibrio cholerae HC-7A1		HC-7A1					Annotation submitted by Institute for Genome Sciences	4074920	Contig	2013-01-23	AGVA02	3730
GCA_000318505.2	ASM31850v2	Vibrio cholerae HC-81A1		HC-81A1					Annotation submitted by Institute for Genome Sciences	4084020	Contig	2013-01-23	AGVC02	3731
GCA_000327105.3	ASM32710v3	Vibrio cholerae HC-64A1		HC-64A1					Annotation submitted by Institute for Genome Sciences	4032042	Scaffold	2013-02-27	AGUT02	3705
GCA_000327125.3	ASM32712v3	Vibrio cholerae HC-65A1		HC-65A1					Annotation submitted by Institute for Genome Sciences	4028731	Scaffold	2013-02-27	AGUU02	3715
GCA_000327145.3	ASM32714v3	Vibrio cholerae HC-67A1		HC-67A1					Annotation submitted by Institute for Genome Sciences	4026751	Scaffold	2013-02-27	AGUV02	3700
GCA_000327165.3	ASM32716v3	Vibrio cholerae HC-68A1		HC-68A1					Annotation submitted by Institute for Genome Sciences	4026495	Scaffold	2013-02-27	AGUW02	3708
GCA_000327185.3	ASM32718v3	Vibrio cholerae HC-71A1		HC-71A1					Annotation submitted by Institute for Genome Sciences	4028948	Scaffold	2013-02-27	AGUX02	3697
GCA_000327205.3	ASM32720v3	Vibrio cholerae HC-72A2		HC-72A2					Annotation submitted by Institute for Genome Sciences	4028422	Scaffold	2013-02-27	AGUY02	3698
GCA_000327225.3	ASM32722v3	Vibrio cholerae HC-78A1		HC-78A1					Annotation submitted by Institute for Genome Sciences	3937766	Scaffold	2013-02-27	AGUZ02	3662
GCA_000327245.3	ASM32724v3	Vibrio cholerae HC-80A1		HC-80A1					Annotation submitted by Institute for Genome Sciences	4032382	Scaffold	2013-02-27	AGVB02	3704
GCA_000328405.1	ASM32840v1	Vibrio parahaemolyticus BB22OP		BB22OP					Annotation submitted by Virginia Tech	5103524	Complete Genome	2012-12-21		4447
GCA_000330905.1	VC4260B	Vibrio cholerae 4260B		4260B					Annotation submitted by International Vaccine Institute	4039222	Contig	2013-01-03	AMVL01	3688
GCA_000334195.1	Vc-CAIM519	Vibrio campbellii CAIM 519 = NBRC 15631 = ATCC 25920		CAIM 519					Annotation submitted by CIAD, A.C.	5076254	Contig	2013-01-29	AMDG01	4733
GCA_000338075.1	G4222_chroI_and_II	Vibrio cholerae O1 str. Inaba G4222		Inaba G4222					Annotation submitted by CSIR	4202811	Chromosome	2013-02-06	ANNB01	3823
GCA_000338215.2	vcp18785v1	Vibrio cholerae P-18785		P-18785						3978895	Contig	2013-02-06	ANHS01	
GCA_000338875.1	CAIM_602T_1.0	Vibrio mimicus CAIM 602		CAIM 602					Annotation submitted by CIAD, A.C.	4320286	Contig	2013-02-08	AOMO01	3841
GCA_000341445.1	VibrioE0666	Vibrio diabolicus E0666		E0666					Annotation submitted by Department of Laboratory Medicine, General Hospital of Jinan Military Region of PLA	5048917	Contig	2013-02-20	AMPD01	4565
GCA_000342305.2	vvyb1_bt3.5	Vibrio vulnificus VVyb1(BT3)		VVyb1(BT3)						5745612	Chromosome	2013-03-01	AOCM01	
GCA_000347495.1	VibParPCV08-7 1.0	Vibrio parahaemolyticus PCV08-7		PCV08-7						5184985	Contig	2013-03-18	AOCL01	
GCA_000347555.1	VHAOD131.1	Vibrio harveyi AOD131		AOD131						6125072	Scaffold	2013-03-21	AOMR01	
GCA_000348045.2	ASM34804v2	Vibrio cholerae O1 str. 116059		116059					Annotation submitted by Institute for Genome Sciences	4017055	Scaffold	2013-03-25	APFJ01	3734
GCA_000348065.2	ASM34806v2	Vibrio cholerae O1 str. 116063		116063					Annotation submitted by Institute for Genome Sciences	3970379	Scaffold	2013-03-25	APFK01	3704
GCA_000348085.2	ASM34808v2	Vibrio paracholerae 87395		87395					Annotation submitted by Institute for Genome Sciences	3858111	Scaffold	2013-03-25	APFL01	3658
GCA_000348105.2	ASM34810v2	Vibrio cholerae O1 str. 95412		95412					Annotation submitted by Institute for Genome Sciences	4030154	Scaffold	2013-03-25	APFM01	3772
GCA_000348125.2	ASM34812v2	Vibrio cholerae O1 str. AG-7404		AG-7404					Annotation submitted by Institute for Genome Sciences	3915123	Scaffold	2013-03-25	APFN01	3550
GCA_000348145.2	ASM34814v2	Vibrio cholerae O1 str. AG-8040		AG-8040					Annotation submitted by Institute for Genome Sciences	3977194	Scaffold	2013-03-25	APFO01	3632
GCA_000348165.2	ASM34816v2	Vibrio cholerae O1 str. EC-0009		EC-0009					Annotation submitted by Institute for Genome Sciences	4028271	Scaffold	2013-03-25	APFP01	3667
GCA_000348185.2	ASM34818v2	Vibrio cholerae O1 str. EC-0012		EC-0012					Annotation submitted by Institute for Genome Sciences	4031923	Scaffold	2013-03-25	APFQ01	3708
GCA_000348205.2	ASM34820v2	Vibrio cholerae O1 str. EC-0027		EC-0027					Annotation submitted by Institute for Genome Sciences	4027674	Scaffold	2013-03-25	APFR01	3684
GCA_000348225.2	ASM34822v2	Vibrio cholerae O1 str. EC-0051		EC-0051					Annotation submitted by Institute for Genome Sciences	4069374	Scaffold	2013-03-25	APFS01	3805
GCA_000348245.2	ASM34824v2	Vibrio cholerae O1 str. EDC-020		EDC-020					Annotation submitted by Institute for Genome Sciences	4028191	Scaffold	2013-03-25	APFT01	3688
GCA_000348265.2	ASM34826v2	Vibrio cholerae O1 str. EDC-022		EDC-022					Annotation submitted by Institute for Genome Sciences	4050458	Scaffold	2013-03-25	APFU01	3731
GCA_000348285.2	ASM34828v2	Vibrio cholerae O1 str. EM-1536		EM-1536					Annotation submitted by Institute for Genome Sciences	4053577	Scaffold	2013-03-25	APFV01	3734
GCA_000348305.2	ASM34830v2	Vibrio cholerae O1 str. EM-1546		EM-1546					Annotation submitted by Institute for Genome Sciences	4061605	Scaffold	2013-03-25	APFW01	3717
GCA_000348325.2	ASM34832v2	Vibrio cholerae O1 str. EM-1626		EM-1626					Annotation submitted by Institute for Genome Sciences	4052965	Scaffold	2013-03-25	APFX01	3733
